Number of pairs,46245.000000
Number of unique pairs,5867
Average pair frequency,7.882223
Pair entropy,8.084944

Pair,Frequency,Proportion,Entropy Term,Mutual Information
clean look,5.000000,0.000108,0.000987,2.901067
clean shoe,4.000000,0.000086,0.000809,1.436896
clean shoes,3.000000,0.000065,0.000626,0.517741
clean wear,3.000000,0.000065,0.000626,2.059489
clean durable,3.000000,0.000065,0.000626,4.497283
nice clean,3.000000,0.000065,0.000626,2.062100
nice look,14.000000,0.000303,0.002453,1.401684
nice like,5.000000,0.000108,0.000987,-0.141661
nice great,45.000000,0.000973,0.006748,1.112914
nice light,13.000000,0.000281,0.002299,2.015293
nice product,7.000000,0.000151,0.001331,1.303244
nice make,3.000000,0.000065,0.000626,1.336692
nice shoe,80.000000,0.001730,0.011002,1.903626
nice shoes,170.000000,0.003676,0.020608,2.025925
nice expected,3.000000,0.000065,0.000626,0.048290
nice sneaker,8.000000,0.000173,0.001499,2.426415
nice nike,6.000000,0.000130,0.001161,0.215842
nice love,17.000000,0.000368,0.002907,0.665493
nice colors,6.000000,0.000130,0.001161,1.816265
nice run,12.000000,0.000259,0.002143,1.813065
nice small,3.000000,0.000065,0.000626,-0.017342
nice size,4.000000,0.000086,0.000809,-0.687690
nice narrow,8.000000,0.000173,0.001499,1.373060
nice feet,3.000000,0.000065,0.000626,-0.235555
nice really,6.000000,0.000130,0.001161,0.702806
nice fit,35.000000,0.000757,0.005439,1.336692
nice favorite,3.000000,0.000065,0.000626,1.481626
nice design,10.000000,0.000216,0.001825,2.649559
nice awesome,5.000000,0.000108,0.000987,0.899974
nice color,9.000000,0.000195,0.001663,1.393850
nice perfect,9.000000,0.000195,0.001663,0.761328
nice support,5.000000,0.000108,0.000987,0.872658
nice fits,10.000000,0.000216,0.001825,1.605506
nice little,13.000000,0.000281,0.002299,1.385482
nice big,7.000000,0.000151,0.001331,1.721954
nice pair,13.000000,0.000281,0.002299,0.829168
nice sneakers,11.000000,0.000238,0.001985,1.859129
nice came,4.000000,0.000086,0.000809,1.295870
nice bought,7.000000,0.000151,0.001331,0.778048
nice daughter,4.000000,0.000086,0.000809,1.616469
nice air,3.000000,0.000065,0.000626,0.761328
nice half,3.000000,0.000065,0.000626,0.704914
