Number of words,75205
Number of unique words,2311
Average word frequency,32.542190
Entropy,6.149864

Word,Frequency,Proportion,Entropy Term
clean,61,0.000811,0.005773
nice,765,0.010172,0.046671
look,551,0.007327,0.036020
like,921,0.012247,0.053915
did,164,0.002181,0.013364
years,166,0.002207,0.013500
ago,49,0.000652,0.004780
real,79,0.001050,0.007205
great,2364,0.031434,0.108758
light,277,0.003683,0.020641
product,304,0.004042,0.022277
inner,17,0.000226,0.001898
lining,7,0.000093,0.000864
make,126,0.001675,0.010709
shoe,1906,0.025344,0.093145
tighter,12,0.000160,0.001395
terrible,14,0.000186,0.001599
shoes,3584,0.047656,0.145054
expected,457,0.006077,0.031011
thanks,161,0.002141,0.013159
sneaker,113,0.001503,0.009768
nike,773,0.010279,0.047052
love,1397,0.018576,0.074041
mix,4,0.000053,0.000523
colors,156,0.002074,0.012815
white,73,0.000971,0.006734
various,3,0.000040,0.000404
sadly,6,0.000080,0.000753
run,313,0.004162,0.022815
small,488,0.006489,0.032689
size,1272,0.016914,0.069002
narrow,324,0.004308,0.023468
higher,18,0.000239,0.001996
feet,607,0.008071,0.038899
really,475,0.006316,0.031989
wide,243,0.003231,0.018530
bigger,145,0.001928,0.012053
fit,1470,0.019547,0.076915
nikes,179,0.002380,0.014378
order,209,0.002779,0.016357
favorite,109,0.001449,0.009474
design,113,0.001503,0.009768
awesome,325,0.004322,0.023527
color,357,0.004747,0.025398
buying,104,0.001383,0.009104
future,16,0.000213,0.001799
perfect,672,0.008936,0.042155
lot,151,0.002008,0.012470
support,334,0.004441,0.024057
say,114,0.001516,0.009841
airmax,15,0.000199,0.001699
twist,5,0.000066,0.000639
know,104,0.001383,0.009104
fits,321,0.004268,0.023290
little,520,0.006914,0.034393
big,200,0.002659,0.015769
havent,55,0.000731,0.005281
wore,126,0.001675,0.010709
pairs,130,0.001729,0.010995
socks,113,0.001503,0.009768
needed,93,0.001237,0.008280
need,173,0.002300,0.013974
pair,907,0.012060,0.053281
uk,4,0.000053,0.000523
sneakers,274,0.003643,0.020457
came,175,0.002327,0.014109
dirty,38,0.000505,0.003835
ankle,84,0.001117,0.007592
ordered,293,0.003896,0.021614
old,215,0.002859,0.016745
disappointed,61,0.000811,0.005773
returning,26,0.000346,0.002755
bought,514,0.006835,0.034076
daughter,127,0.001689,0.010780
wife,34,0.000452,0.003482
knowing,5,0.000066,0.000639
day,356,0.004734,0.025340
doesnt,81,0.001077,0.007360
comes,25,0.000332,0.002662
going,85,0.001130,0.007669
surprise,9,0.000120,0.001081
having,44,0.000585,0.004355
air,224,0.002979,0.017324
max,87,0.001157,0.007823
thank,148,0.001968,0.012262
adorable,7,0.000093,0.000864
kicks,44,0.000585,0.004355
maybe,55,0.000731,0.005281
half,237,0.003151,0.018152
cost,22,0.000293,0.002380
stated,13,0.000173,0.001497
yellow,12,0.000160,0.001395
states,6,0.000080,0.000753
looks,227,0.003018,0.017516
unhappy,4,0.000053,0.000523
brought,20,0.000266,0.002189
certain,9,0.000120,0.001081
outfit,6,0.000080,0.000753
um,5,0.000066,0.000639
purchase,175,0.002327,0.014109
plus,47,0.000625,0.004611
charged,5,0.000066,0.000639
tells,6,0.000080,0.000753
fixed,9,0.000120,0.001081
womens,55,0.000731,0.005281
received,107,0.001423,0.009327
mens,56,0.000745,0.005363
wasnt,42,0.000558,0.004183
picture,58,0.000771,0.005528
way,193,0.002566,0.015309
yes,24,0.000319,0.002569
return,140,0.001862,0.011702
problems,47,0.000625,0.004611
getting,77,0.001024,0.007048
refund,16,0.000213,0.001799
feel,377,0.005013,0.026547
walk,103,0.001370,0.009030
different,143,0.001901,0.011913
sizes,70,0.000931,0.006496
glad,58,0.000771,0.005528
able,58,0.000771,0.005528
left,58,0.000771,0.005528
thinks,6,0.000080,0.000753
version,34,0.000452,0.003482
versions,5,0.000066,0.000639
maxes,4,0.000053,0.000523
ill,46,0.000612,0.004526
super,178,0.002367,0.014311
careful,6,0.000080,0.000753
babies,4,0.000053,0.000523
man,18,0.000239,0.001996
returned,60,0.000798,0.005691
ran,40,0.000532,0.004010
pain,42,0.000558,0.004183
paid,33,0.000439,0.003393
initial,5,0.000066,0.000639
shipping,187,0.002487,0.014911
incredible,7,0.000093,0.000864
tight,257,0.003417,0.019407
time,460,0.006117,0.031175
wear,767,0.010199,0.046766
laces,92,0.001223,0.008204
untied,5,0.000066,0.000639
loose,32,0.000426,0.003303
break,91,0.001210,0.008128
better,206,0.002739,0.016161
satisfied,86,0.001144,0.007746
fitted,20,0.000266,0.002189
box,179,0.002380,0.014378
crushed,5,0.000066,0.000639
minor,7,0.000093,0.000864
damage,5,0.000066,0.000639
think,117,0.001556,0.010059
excellent,339,0.004508,0.024350
woman,8,0.000106,0.000973
mans,4,0.000053,0.000523
heel,82,0.001090,0.007438
smaller,109,0.001449,0.009474
major,10,0.000133,0.001187
spine,4,0.000053,0.000523
surgery,12,0.000160,0.001395
total,13,0.000173,0.001497
knee,11,0.000146,0.001292
replacements,4,0.000053,0.000523
use,189,0.002513,0.015044
treadmill,9,0.000120,0.001081
comfort,143,0.001901,0.011913
ability,5,0.000066,0.000639
complete,9,0.000120,0.001081
physical,3,0.000040,0.000404
discomfort,13,0.000173,0.001497
amazons,6,0.000080,0.000753
customer,24,0.000319,0.002569
service,72,0.000957,0.006655
days,98,0.001303,0.008657
hours,72,0.000957,0.006655
delivery,123,0.001636,0.010493
worth,94,0.001250,0.008355
penny,14,0.000186,0.001599
pay,47,0.000625,0.004611
gives,13,0.000173,0.001497
stability,33,0.000439,0.003393
cushioning,47,0.000625,0.004611
durability,21,0.000279,0.002285
happy,285,0.003790,0.021129
absolutely,94,0.001250,0.008355
superior,8,0.000106,0.000973
following,4,0.000053,0.000523
reasons,6,0.000080,0.000753
width,97,0.001290,0.008581
significantly,5,0.000066,0.000639
limited,8,0.000106,0.000973
flexibility,8,0.000106,0.000973
toes,83,0.001104,0.007515
point,31,0.000412,0.003213
outbr,5,0.000066,0.000639
stride,5,0.000066,0.000639
neutral,10,0.000133,0.001187
cushion,47,0.000625,0.004611
level,10,0.000133,0.001187
range,14,0.000186,0.001599
category,3,0.000040,0.000404
weight,99,0.001316,0.008732
combination,10,0.000133,0.001187
fantastic,40,0.000532,0.004010
outstanding,13,0.000173,0.001497
appears,9,0.000120,0.001081
experienced,7,0.000093,0.000864
orthopedic,5,0.000066,0.000639
definitely,138,0.001835,0.011562
money,82,0.001090,0.007438
sole,123,0.001636,0.010493
style,176,0.002340,0.014176
good,1358,0.018057,0.072486
everyday,51,0.000678,0.004948
beautiful,65,0.000864,0.006096
purchased,148,0.001968,0.012262
today,31,0.000412,0.003213
heels,10,0.000133,0.001187
perfectly,173,0.002300,0.013974
slippage,7,0.000093,0.000864
soles,64,0.000851,0.006016
wonderful,32,0.000426,0.003303
toe,145,0.001928,0.012053
gave,48,0.000638,0.004695
ample,4,0.000053,0.000523
room,63,0.000838,0.005935
appearance,9,0.000120,0.001081
knees,11,0.000146,0.001292
perform,9,0.000120,0.001081
exercises,4,0.000053,0.000523
updated,3,0.000040,0.000404
information,5,0.000066,0.000639
company,13,0.000173,0.001497
sent,31,0.000412,0.003213
star,34,0.000452,0.003482
grandson,97,0.001290,0.008581
person,52,0.000691,0.005031
comfortable,1609,0.021395,0.082255
theyre,164,0.002181,0.013364
stylish,83,0.001104,0.007515
deal,55,0.000731,0.005281
fake,50,0.000665,0.004864
foot,364,0.004840,0.025802
want,123,0.001636,0.010493
cross,22,0.000293,0.002380
training,47,0.000625,0.004611
instantly,4,0.000053,0.000523
noticed,22,0.000293,0.002380
grip,67,0.000891,0.006257
gym,82,0.001090,0.007438
wearing,222,0.002952,0.017196
running,387,0.005146,0.027117
leg,12,0.000160,0.001395
starting,11,0.000146,0.001292
hurt,67,0.000891,0.006257
constantly,13,0.000173,0.001497
hoping,31,0.000412,0.003213
help,43,0.000572,0.004269
ive,302,0.004016,0.022157
compliments,107,0.001423,0.009327
bo,4,0.000053,0.000523
second,117,0.001556,0.010059
jordans,82,0.001090,0.007438
fresh,16,0.000213,0.001799
def,5,0.000066,0.000639
jersey,3,0.000040,0.000404
far,111,0.001476,0.009621
snug,118,0.001569,0.010132
exact,32,0.000426,0.003303
laced,4,0.000053,0.000523
strap,32,0.000426,0.003303
offer,17,0.000226,0.001898
slightly,68,0.000904,0.006337
totally,28,0.000372,0.002940
sort,8,0.000106,0.000973
usually,97,0.001290,0.008581
right,213,0.002832,0.016616
fly,15,0.000199,0.001699
early,29,0.000386,0.003031
colorway,11,0.000146,0.001292
nicely,26,0.000346,0.002755
probably,57,0.000758,0.005446
bother,12,0.000160,0.001395
pinky,12,0.000160,0.001395
usebr,3,0.000040,0.000404
lack,8,0.000106,0.000973
word,5,0.000066,0.000639
hyper,5,0.000066,0.000639
teal,3,0.000040,0.000404
trainers,30,0.000399,0.003122
regret,5,0.000066,0.000639
scheme,11,0.000146,0.001292
favorites,4,0.000053,0.000523
productbr,4,0.000053,0.000523
pop,6,0.000080,0.000753
arrived,142,0.001888,0.011843
seller,105,0.001396,0.009179
huge,23,0.000306,0.002475
upgrade,5,0.000066,0.000639
basketball,122,0.001622,0.010421
comfy,162,0.002154,0.013227
hard,111,0.001476,0.009621
surfaces,4,0.000053,0.000523
area,48,0.000638,0.004695
everytime,5,0.000066,0.000639
play,91,0.001210,0.008128
pretty,105,0.001396,0.009179
tough,12,0.000160,0.001395
tennis,59,0.000785,0.005610
used,126,0.001675,0.010709
court,33,0.000439,0.003393
theyll,13,0.000173,0.001497
week,93,0.001237,0.008280
looking,300,0.003989,0.022037
true,106,0.001409,0.009253
life,22,0.000293,0.002380
larger,136,0.001808,0.011421
normally,67,0.000891,0.006257
boy,28,0.000372,0.002940
description,17,0.000226,0.001898
correct,25,0.000332,0.002662
written,6,0.000080,0.000753
kid,39,0.000519,0.003923
save,10,0.000133,0.001187
boxes,4,0.000053,0.000523
mail,13,0.000173,0.001497
lil,19,0.000253,0.002093
comfortably,29,0.000386,0.003031
actually,73,0.000971,0.006734
numerous,6,0.000080,0.000753
par,5,0.000066,0.000639
recommend,221,0.002939,0.017132
ok,80,0.001064,0.007282
year,184,0.002447,0.014712
walking,184,0.002447,0.014712
long,176,0.002340,0.014176
replaced,11,0.000146,0.001292
highly,85,0.001130,0.007669
recommended,50,0.000665,0.004864
end,35,0.000465,0.003571
started,50,0.000665,0.004864
excelente,58,0.000771,0.005528
thicker,18,0.000239,0.001996
normal,81,0.001077,0.007360
insole,25,0.000332,0.002662
slippersbr,3,0.000040,0.000404
br,217,0.002885,0.016874
sore,10,0.000133,0.001187
