Id,Label,timeset,modularity_class,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,clustering
1,clean,,0,0,0,0,0,0,0,0,0,0
2,nice,,0,347,425,772,2,0.894737,0.941176,19.776728,0.034665,0.660282
3,look,,0,270,403,673,2,0.68,0.764706,4.626986,0.026115,0.778656
4,like,,0,461,353,814,2,0.918919,0.955882,29.223122,0.040297,0.635472
5,did,,0,0,0,0,0,0,0,0,0,0
6,years,,0,0,0,0,0,0,0,0,0,0
7,ago,,0,0,0,0,0,0,0,0,0,0
8,real,,0,0,0,0,0,0,0,0,0,0
9,great,,0,1033,1271,2304,1,1,1,34.295569,0.040841,0.632799
10,light,,0,0,0,0,0,0,0,0,0,0
11,product,,0,0,0,0,0,0,0,0,0,0
12,inner,,0,0,0,0,0,0,0,0,0,0
13,lining,,0,0,0,0,0,0,0,0,0,0
14,make,,0,0,0,0,0,0,0,0,0,0
15,shoe,,0,1162,784,1946,1,1,1,38.830054,0.042993,0.631016
16,tighter,,0,0,0,0,0,0,0,0,0,0
17,terrible,,0,0,0,0,0,0,0,0,0,0
18,shoes,,1,0,0,0,0,0,0,0,0,0
19,expected,,0,248,197,445,2,0.73913,0.823529,6.445886,0.02458,0.738462
20,thanks,,0,0,0,0,0,0,0,0,0,0
21,sneaker,,0,0,0,0,0,0,0,0,0,0
22,nike,,1,315,181,496,2,0.68,0.764706,9.913008,0.032579,0.709231
23,love,,0,446,535,981,2,0.871795,0.926471,20.458791,0.036006,0.659274
24,mix,,0,0,0,0,0,0,0,0,0,0
25,colors,,0,0,0,0,0,0,0,0,0,0
26,white,,0,0,0,0,0,0,0,0,0,0
27,various,,0,0,0,0,0,0,0,0,0,0
28,sadly,,0,0,0,0,0,0,0,0,0,0
29,run,,2,115,223,338,2,0.653846,0.735294,2.81551,0.020461,0.782609
30,small,,2,375,229,604,2,0.755556,0.838235,10.052119,0.030792,0.730769
31,size,,2,631,578,1209,2,0.894737,0.941176,20.037809,0.035264,0.663306
32,narrow,,2,201,151,352,2,0.68,0.764706,3.689321,0.025432,0.813158
33,higher,,0,0,0,0,0,0,0,0,0,0
34,feet,,2,243,191,434,2,0.772727,0.852941,11.293644,0.030621,0.75
35,really,,0,191,319,510,2,0.772727,0.852941,13.92314,0.034013,0.678495
36,wide,,0,0,0,0,0,0,0,0,0,0
37,bigger,,0,0,0,0,0,0,0,0,0,0
38,fit,,0,892,1008,1900,2,0.971429,0.985294,31.720796,0.040975,0.649621
39,nikes,,0,0,0,0,0,0,0,0,0,0
40,order,,0,0,0,0,0,0,0,0,0,0
41,favorite,,0,0,0,0,0,0,0,0,0,0
42,design,,0,0,0,0,0,0,0,0,0,0
43,awesome,,0,0,0,0,0,0,0,0,0,0
44,color,,0,179,109,288,2,0.666667,0.75,1.854802,0.021777,0.860526
45,buying,,0,0,0,0,0,0,0,0,0,0
46,future,,0,0,0,0,0,0,0,0,0,0
47,perfect,,0,373,375,748,2,0.894737,0.941176,21.308682,0.032956,0.65121
48,lot,,0,0,0,0,0,0,0,0,0,0
49,support,,0,0,0,0,0,0,0,0,0,0
50,say,,0,0,0,0,0,0,0,0,0,0
51,airmax,,0,0,0,0,0,0,0,0,0,0
52,twist,,0,0,0,0,0,0,0,0,0,0
53,know,,0,0,0,0,0,0,0,0,0,0
54,fits,,0,130,273,403,2,0.73913,0.823529,2.402497,0.018014,0.804348
55,little,,2,273,261,534,2,0.693878,0.779412,4.918761,0.02767,0.769231
56,big,,0,0,0,0,0,0,0,0,0,0
57,havent,,0,0,0,0,0,0,0,0,0,0
58,wore,,0,0,0,0,0,0,0,0,0,0
59,pairs,,0,0,0,0,0,0,0,0,0,0
60,socks,,0,0,0,0,0,0,0,0,0,0
61,needed,,0,0,0,0,0,0,0,0,0,0
62,need,,0,0,0,0,0,0,0,0,0,0
63,pair,,1,318,281,599,2,0.809524,0.882353,11.87885,0.027514,0.679803
64,uk,,0,0,0,0,0,0,0,0,0,0
65,sneakers,,0,0,0,0,0,0,0,0,0,0
66,came,,0,0,0,0,0,0,0,0,0,0
67,dirty,,0,0,0,0,0,0,0,0,0,0
68,ankle,,0,0,0,0,0,0,0,0,0,0
69,ordered,,2,105,184,289,2,0.618182,0.691176,1.909139,0.019205,0.803922
70,old,,0,0,0,0,0,0,0,0,0,0
71,disappointed,,0,0,0,0,0,0,0,0,0,0
72,returning,,0,0,0,0,0,0,0,0,0,0
73,bought,,1,175,247,422,2,0.62963,0.705882,1.654484,0.023625,0.857895
