Number of pairs,65209.000000
Number of unique pairs,8257
Average pair frequency,7.897420
Pair entropy,8.403745

Pair,Frequency,Proportion,Entropy Term,Mutual Information
clean look,3.000000,0.000046,0.000459,3.363798
clean easily,6.000000,0.000092,0.000855,5.915843
shoe love,11.000000,0.000169,0.001465,-0.535209
shoe thought,5.000000,0.000077,0.000727,1.147963
shoe great,34.000000,0.000521,0.003941,0.502707
shoe disappointed,3.000000,0.000046,0.000459,0.424117
shoe strap,5.000000,0.000077,0.000727,0.917651
shoe time,11.000000,0.000169,0.001465,0.559159
shoe wore,4.000000,0.000061,0.000595,0.203301
shoe bought,12.000000,0.000184,0.001583,0.284608
shoe especially,3.000000,0.000046,0.000459,1.117264
shoe wear,26.000000,0.000399,0.003121,0.450398
shoe lot,5.000000,0.000077,0.000727,0.702539
shoe walking,10.000000,0.000153,0.001347,0.796698
shoe shoes,21.000000,0.000322,0.002589,-0.941407
shoe look,7.000000,0.000107,0.000981,0.129194
shoe comfortable,58.000000,0.000889,0.006248,0.650373
shoe feet,25.000000,0.000383,0.003016,0.388705
shoe work,31.000000,0.000475,0.003637,0.626978
shoe day,15.000000,0.000230,0.001927,0.188034
shoe recommend,3.000000,0.000046,0.000459,-0.108561
shoe style,7.000000,0.000107,0.000981,1.043631
shoe comfort,13.000000,0.000199,0.001699,1.540780
shoe super,7.000000,0.000107,0.000981,0.705176
shoe started,7.000000,0.000107,0.000981,1.582627
shoe wearing,3.000000,0.000046,0.000459,-0.622794
shoe skechers,7.000000,0.000107,0.000981,-0.070296
shoe happy,5.000000,0.000077,0.000727,0.378654
shoe comfy,4.000000,0.000061,0.000595,-0.059601
shoe better,9.000000,0.000138,0.001227,1.031869
shoe expected,6.000000,0.000092,0.000855,0.453617
shoe really,16.000000,0.000245,0.002040,0.784119
shoe size,43.000000,0.000659,0.004830,0.940501
shoe right,10.000000,0.000153,0.001347,1.071802
shoe larger,4.000000,0.000061,0.000595,0.910533
shoe small,16.000000,0.000245,0.002040,1.373470
shoe quite,9.000000,0.000138,0.001227,2.137624
shoe arch,8.000000,0.000123,0.001105,0.768615
shoe support,15.000000,0.000230,0.001927,0.972459
shoe half,6.000000,0.000092,0.000855,0.862081
shoe smaller,6.000000,0.000092,0.000855,1.033650
shoe definitely,3.000000,0.000046,0.000459,0.303753
shoe sure,3.000000,0.000046,0.000459,0.608767
shoe order,6.000000,0.000092,0.000855,0.839808
shoe tried,5.000000,0.000077,0.000727,1.058556
