Number of words,102449
Number of unique words,2620
Average word frequency,39.102672
Entropy,6.250748

Word,Frequency,Proportion,Entropy Term
clean,31,0.000303,0.002452
shoe,1837,0.017931,0.072104
poorly,16,0.000156,0.001369
love,1646,0.016067,0.066371
thought,139,0.001357,0.008958
great,1802,0.017589,0.071069
disappointed,172,0.001679,0.010727
tie,48,0.000469,0.003592
center,9,0.000088,0.000820
strap,175,0.001708,0.010885
time,551,0.005378,0.028104
wore,286,0.002792,0.016418
bought,791,0.007721,0.037553
especially,86,0.000839,0.005946
wear,1452,0.014173,0.060326
vacation,29,0.000283,0.002313
doing,27,0.000264,0.002172
lot,217,0.002118,0.013042
walking,395,0.003856,0.021430
felt,109,0.001064,0.007284
wonderful,65,0.000634,0.004671
shoes,4717,0.046042,0.141727
look,539,0.005261,0.027607
comfortable,2652,0.025886,0.094589
ended,32,0.000312,0.002521
killing,22,0.000215,0.001814
feet,1485,0.014495,0.061371
hour,99,0.000966,0.006708
work,1451,0.014163,0.060294
day,1089,0.010630,0.048302
sadly,11,0.000107,0.000981
recommend,293,0.002860,0.016751
style,216,0.002108,0.012991
comfort,244,0.002382,0.014385
sandals,276,0.002694,0.015940
fantastic,44,0.000429,0.003330
super,303,0.002958,0.017223
summer,124,0.001210,0.008130
started,126,0.001230,0.008241
planters,4,0.000039,0.000396
fasciitis,20,0.000195,0.001667
wearing,490,0.004783,0.025553
unsupportive,3,0.000029,0.000306
flip,131,0.001279,0.008519
flops,101,0.000986,0.006824
flop,43,0.000420,0.003264
kinda,18,0.000176,0.001519
girl,64,0.000625,0.004609
stop,29,0.000283,0.002313
spring,11,0.000107,0.000981
skechers,658,0.006423,0.032421
havent,55,0.000537,0.004042
issues,63,0.000615,0.004547
pain,149,0.001454,0.009502
happy,300,0.002928,0.017082
comfy,372,0.003631,0.020400
compliments,60,0.000586,0.004359
hesitate,6,0.000059,0.000571
better,281,0.002743,0.016179
expected,334,0.003260,0.018668
theyre,244,0.002382,0.014385
really,640,0.006247,0.031708
size,1471,0.014358,0.060929
right,300,0.002928,0.017082
larger,141,0.001376,0.009068
small,355,0.003465,0.019630
easy,140,0.001367,0.009013
favorite,109,0.001064,0.007284
quite,93,0.000908,0.006358
arch,325,0.003172,0.018251
support,497,0.004851,0.025850
hurt,192,0.001874,0.011769
half,222,0.002167,0.013293
smaller,187,0.001825,0.011510
definitely,194,0.001894,0.011872
sure,143,0.001396,0.009176
order,227,0.002216,0.013543
fact,53,0.000517,0.003915
friends,23,0.000225,0.001886
tried,152,0.001484,0.009663
pair,1224,0.011947,0.052894
length,57,0.000556,0.004170
fine,141,0.001376,0.009068
straps,146,0.001425,0.009339
tight,234,0.002284,0.013891
open,26,0.000254,0.002101
toe,472,0.004607,0.024787
toes,305,0.002977,0.017317
worth,102,0.000996,0.006882
