Id,Label,timeset,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,clustering
1,clean,,0,0,0,0,0,0,0
2,shoe,,0,1,1,1,16.456996,0.03823,0.759073
3,poorly,,0,0,0,0,0,0,0
4,love,,0,2,0.888889,0.9375,9.178344,0.034671,0.8
5,thought,,0,0,0,0,0,0,0
6,great,,0,2,0.941176,0.96875,11.702288,0.035842,0.794253
7,disappointed,,0,0,0,0,0,0,0
8,tie,,0,0,0,0,0,0,0
9,center,,0,0,0,0,0,0,0
10,strap,,0,0,0,0,0,0,0
11,time,,0,2,0.820513,0.890625,3.533336,0.025111,0.835979
12,wore,,0,0,0,0,0,0,0
13,bought,,0,2,0.711111,0.796875,2.322606,0.027086,0.867589
14,especially,,0,0,0,0,0,0,0
15,wear,,1,2,0.914286,0.953125,12.630288,0.036997,0.763105
16,vacation,,0,0,0,0,0,0,0
17,doing,,0,0,0,0,0,0,0
18,lot,,0,0,0,0,0,0,0
19,walking,,0,0,0,0,0,0,0
20,felt,,0,0,0,0,0,0,0
21,wonderful,,0,0,0,0,0,0,0
22,shoes,,0,2,0.969697,0.984375,15.499008,0.038198,0.760081
23,look,,0,2,0.744186,0.828125,2.609398,0.027624,0.852308
24,comfortable,,0,1,1,1,16.456996,0.03823,0.759073
25,ended,,0,0,0,0,0,0,0
26,killing,,0,0,0,0,0,0,0
27,feet,,1,2,0.914286,0.953125,9.400667,0.032594,0.790805
28,hour,,0,0,0,0,0,0,0
29,work,,0,2,0.888889,0.9375,11.882822,0.037005,0.764113
30,day,,1,2,0.8,0.875,2.820585,0.023228,0.856923
31,sadly,,0,0,0,0,0,0,0
32,recommend,,0,0,0,0,0,0,0
33,style,,0,0,0,0,0,0,0
34,comfort,,0,0,0,0,0,0,0
35,sandals,,0,0,0,0,0,0,0
36,fantastic,,0,0,0,0,0,0,0
37,super,,0,0,0,0,0,0,0
38,summer,,0,0,0,0,0,0,0
39,started,,0,0,0,0,0,0,0
40,planters,,0,0,0,0,0,0,0
41,fasciitis,,0,0,0,0,0,0,0
42,wearing,,0,2,0.695652,0.78125,2.213247,0.024642,0.851449
43,unsupportive,,0,0,0,0,0,0,0
44,flip,,0,0,0,0,0,0,0
45,flops,,0,0,0,0,0,0,0
46,flop,,0,0,0,0,0,0,0
47,kinda,,0,0,0,0,0,0,0
48,girl,,0,0,0,0,0,0,0
49,stop,,0,0,0,0,0,0,0
50,spring,,0,0,0,0,0,0,0
51,skechers,,0,2,0.727273,0.8125,2.829173,0.028377,0.846154
52,havent,,0,0,0,0,0,0,0
53,issues,,0,0,0,0,0,0,0
54,pain,,0,0,0,0,0,0,0
55,happy,,0,0,0,0,0,0,0
56,comfy,,0,0,0,0,0,0,0
57,compliments,,0,0,0,0,0,0,0
58,hesitate,,0,0,0,0,0,0,0
59,better,,0,0,0,0,0,0,0
60,expected,,0,0,0,0,0,0,0
61,theyre,,0,0,0,0,0,0,0
62,really,,0,2,0.864865,0.921875,6.651777,0.030249,0.802956
63,size,,1,2,0.941176,0.96875,12.662477,0.036181,0.775269
64,right,,0,0,0,0,0,0,0
65,larger,,0,0,0,0,0,0,0
66,small,,0,0,0,0,0,0,0
67,easy,,0,0,0,0,0,0,0
68,favorite,,0,0,0,0,0,0,0
69,quite,,0,0,0,0,0,0,0
70,arch,,0,0,0,0,0,0,0
71,support,,0,2,0.711111,0.796875,1.76375,0.022036,0.878788
72,hurt,,0,0,0,0,0,0,0
73,half,,0,0,0,0,0,0,0
74,smaller,,0,0,0,0,0,0,0
75,definitely,,0,0,0,0,0,0,0
76,sure,,0,0,0,0,0,0,0
77,order,,0,0,0,0,0,0,0
78,fact,,0,0,0,0,0,0,0
79,friends,,0,0,0,0,0,0,0
80,tried,,0,0,0,0,0,0,0
81,pair,,0,2,0.888889,0.9375,8.376871,0.032679,0.801724
82,length,,0,0,0,0,0,0,0
83,fine,,0,0,0,0,0,0,0
84,straps,,0,0,0,0,0,0,0
85,tight,,0,0,0,0,0,0,0
86,open,,0,0,0,0,0,0,0
87,toe,,1,2,0.627451,0.703125,0.723941,0.021222,0.905229
88,toes,,0,0,0,0,0,0,0
89,worth,,0,0,0,0,0,0,0
90,price,,0,2,0.711111,0.796875,0.627701,0.018997,0.930736
91,unfortunately,,0,0,0,0,0,0,0
92,stretched,,0,0,0,0,0,0,0
93,moderate,,0,0,0,0,0,0,0
94,ok,,0,0,0,0,0,0,0
95,perfect,,1,2,0.761905,0.84375,6.08512,0.031444,0.803419
96,recently,,0,0,0,0,0,0,0
97,developed,,0,0,0,0,0,0,0
98,bunions,,0,0,0,0,0,0,0
99,hurts,,0,0,0,0,0,0,0
100,need,,0,0,0,0,0,0,0
101,does,,0,0,0,0,0,0,0
102,sandal,,0,0,0,0,0,0,0
103,big,,1,2,0.727273,0.8125,3.014514,0.023506,0.838333
104,purpose,,0,0,0,0,0,0,0
105,little,,1,2,0.914286,0.953125,14.186352,0.038128,0.762097
106,high,,0,0,0,0,0,0,0
107,reason,,0,0,0,0,0,0,0
108,lower,,0,0,0,0,0,0,0
109,pairs,,0,0,0,0,0,0,0
110,satisfied,,0,0,0,0,0,0,0
111,purchase,,0,0,0,0,0,0,0
112,grey,,0,0,0,0,0,0,0
113,feel,,0,2,0.761905,0.84375,4.338418,0.027251,0.84
114,like,,0,2,0.888889,0.9375,9.335837,0.033608,0.767137
115,slippers,,0,0,0,0,0,0,0
116,sturdy,,0,0,0,0,0,0,0
117,walk,,0,0,0,0,0,0,0
118,long,,0,0,0,0,0,0,0
119,distances,,0,0,0,0,0,0,0
120,wish,,0,0,0,0,0,0,0
121,soles,,0,0,0,0,0,0,0
122,provided,,0,0,0,0,0,0,0
123,balls,,0,0,0,0,0,0,0
124,fully,,0,0,0,0,0,0,0
125,flatten,,0,0,0,0,0,0,0
126,person,,0,0,0,0,0,0,0
127,said,,0,0,0,0,0,0,0
128,upper,,0,0,0,0,0,0,0
129,stretching,,0,0,0,0,0,0,0
130,complained,,0,0,0,0,0,0,0
131,sole,,0,0,0,0,0,0,0
132,product,,0,0,0,0,0,0,0
133,buying,,0,0,0,0,0,0,0
134,swollen,,0,0,0,0,0,0,0
135,wrong,,0,0,0,0,0,0,0
136,rubber,,0,0,0,0,0,0,0
137,bands,,0,0,0,0,0,0,0
138,inside,,0,0,0,0,0,0,0
139,didnt,,0,0,0,0,0,0,0
140,think,,0,0,0,0,0,0,0
141,id,,0,0,0,0,0,0,0
142,ive,,0,0,0,0,0,0,0
143,figured,,0,0,0,0,0,0,0
144,simple,,0,0,0,0,0,0,0
145,slipping,,0,0,0,0,0,0,0
146,regular,,0,0,0,0,0,0,0
147,isnt,,0,0,0,0,0,0,0
148,deal,,0,0,0,0,0,0,0
149,worn,,0,0,0,0,0,0,0
